state,state_fips,fips,county,NAME,season,season_start_year,total_cases,flu_rate_per_100k,peak_week_cases,peak_rate_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pop_total,pop_elderly,pop_below_poverty,labour_force,unemployed,total_commuters,public_transport_commuters,pop_white,pop_foreign_born,pop_bachelors_plus,land_area_sqmi,outbreak
NY,36,36001,ALBANY,"Albany County, New York",2024-2025,2024,3955.0,1255.4,447.0,141.9,33.0,18.0,24.83,84.8,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0
NY,36,36003,ALLEGANY,"Allegany County, New York",2024-2025,2024,946.0,2003.3,95.0,201.2,25.0,20.0,4.75,84.2,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0
NY,36,36005,BRONX,"Bronx County, New York",2024-2025,2024,48654.0,3371.2,5434.0,376.5,33.0,16.0,339.62,75.4,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,1
NY,36,36007,BROOME,"Broome County, New York",2024-2025,2024,3897.0,1964.6,409.0,206.2,32.0,19.0,21.53,90.8,281.11,39.7,19.74,2.31,58317,18.14,6.94,3.08,19.73,17.39,7.6,198365,39154,35991,93816,6514,84789,2615,163872,15084,39139,705.651,0
NY,36,36009,CATTARAUGUS,"Cattaraugus County, New York",2024-2025,2024,712.0,924.7,80.0,103.9,25.0,20.0,4.0,86.9,58.86,42.5,19.94,2.36,56889,16.9,5.4,0.45,13.94,10.01,1.57,77000,15353,13016,35118,1897,32488,146,69289,1206,10732,1308.163,0
NY,36,36011,CAYUGA,"Cayuga County, New York",2024-2025,2024,1373.0,1802.5,172.0,225.8,27.0,20.0,8.6,86.7,110.14,43.4,20.05,2.34,63227,12.79,4.26,0.63,16.7,10.41,2.33,76171,15272,9744,36289,1545,34081,214,68242,1775,12723,691.587,0
NY,36,36013,CHAUTAUQUA,"Chautauqua County, New York",2024-2025,2024,1566.0,1228.8,197.0,154.6,28.0,20.0,9.85,92.8,120.18,42.8,20.81,2.29,54625,16.88,5.42,0.46,17.04,11.2,2.43,127440,26525,21513,58337,3161,53861,246,113168,3096,21716,1060.41,0
NY,36,36015,CHEMUNG,"Chemung County, New York",2024-2025,2024,2304.0,2756.5,187.0,223.7,32.0,17.0,11.0,84.7,205.2,41.7,19.59,2.29,61358,14.5,6.33,1.25,17.32,14.06,3.49,83584,16376,12118,39143,2479,35625,444,71833,2920,14476,407.333,1
NY,36,36017,CHENANGO,"Chenango County, New York",2024-2025,2024,1229.0,2609.6,128.0,271.8,33.0,16.0,8.0,90.8,52.71,44.9,21.32,2.33,61741,12.2,7.1,0.05,13.17,5.66,2.23,47096,10043,5747,22858,1624,20856,11,44432,1052,6204,893.443,0
NY,36,36019,CLINTON,"Clinton County, New York",2024-2025,2024,1230.0,1540.6,144.0,180.4,28.0,20.0,7.2,79.3,76.93,40.9,17.84,2.24,67097,12.01,4.66,0.17,18.8,9.7,4.87,79839,14244,9586,37687,1755,35098,58,72093,3885,15013,1037.751,0
