state,state_fips,fips,county,NAME,season,season_start_year,total_cases,flu_rate_per_100k,peak_week_cases,peak_rate_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pop_total,pop_elderly,pop_below_poverty,labour_force,unemployed,total_commuters,public_transport_commuters,pop_white,pop_foreign_born,pop_bachelors_plus,land_area_sqmi,outbreak,pct_vaccinated
NY,36,36001,ALBANY,"Albany County, New York",2009-2010,2009,333.0,105.7,87.0,27.6,14.0,4.0,21.75,99.4,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2010-2011,2010,144.0,45.7,17.0,5.4,24.0,23.0,0.74,77.1,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2011-2012,2011,39.0,12.4,8.0,2.5,11.0,30.0,0.27,66.7,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2012-2013,2012,521.0,165.4,87.0,27.6,26.0,13.0,6.69,81.8,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2013-2014,2013,567.0,180.0,69.0,21.9,26.0,16.0,4.31,72.1,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2015-2016,2015,713.0,226.3,98.0,31.1,21.0,24.0,4.08,69.3,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2016-2017,2016,701.0,222.5,92.0,29.2,29.0,21.0,4.38,71.8,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2017-2018,2017,1708.0,542.2,183.0,58.1,27.0,19.0,9.63,72.2,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2018-2019,2018,1352.0,429.2,168.0,53.3,30.0,25.0,6.72,81.0,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2019-2020,2019,1719.0,545.6,246.0,78.1,27.0,21.0,11.71,43.9,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2020-2021,2020,34.0,10.8,5.0,1.6,17.0,14.0,0.36,29.4,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2021-2022,2021,782.0,248.2,92.0,29.2,37.0,28.0,3.29,90.3,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2022-2023,2022,3450.0,1095.1,731.0,232.0,33.0,10.0,73.1,91.7,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2023-2024,2023,2416.0,766.9,186.0,59.0,33.0,21.0,8.86,73.6,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2024-2025,2024,3955.0,1255.4,447.0,141.9,33.0,18.0,24.83,84.8,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36001,ALBANY,"Albany County, New York",2025-2026,2025,4006.0,1271.6,663.0,210.4,28.0,13.0,51.0,72.4,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,315041,55160,37608,169862,8915,157506,7274,227136,35961,94093,522.888,0,71.5
NY,36,36003,ALLEGANY,"Allegany County, New York",2009-2010,2009,222.0,470.1,82.0,173.6,11.0,4.0,20.5,100.0,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,1,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2010-2011,2010,117.0,247.8,35.0,74.1,12.0,21.0,1.67,94.0,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,1,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2011-2012,2011,4.0,8.5,2.0,4.2,3.0,24.0,0.08,75.0,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2012-2013,2012,123.0,260.5,40.0,84.7,20.0,16.0,2.5,85.4,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2013-2014,2013,160.0,338.8,29.0,61.4,20.0,19.0,1.53,96.9,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,1,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2015-2016,2015,87.0,184.2,16.0,33.9,14.0,24.0,0.67,86.2,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2016-2017,2016,211.0,446.8,41.0,86.8,19.0,20.0,2.05,77.3,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2017-2018,2017,205.0,434.1,36.0,76.2,24.0,17.0,2.12,68.8,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2018-2019,2018,364.0,770.8,50.0,105.9,23.0,25.0,2.0,95.6,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2019-2020,2019,492.0,1041.9,54.0,114.4,20.0,20.0,2.7,42.7,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2020-2021,2020,14.0,29.6,2.0,4.2,10.0,6.0,0.33,71.4,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2021-2022,2021,202.0,427.8,62.0,131.3,30.0,11.0,5.64,98.0,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2022-2023,2022,692.0,1465.4,128.0,271.1,20.0,8.0,16.0,99.4,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2023-2024,2023,765.0,1620.0,76.0,160.9,27.0,17.0,4.47,80.4,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2024-2025,2024,946.0,2003.3,95.0,201.2,25.0,20.0,4.75,84.2,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36003,ALLEGANY,"Allegany County, New York",2025-2026,2025,815.0,1725.9,63.0,133.4,24.0,15.0,4.2,65.8,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,47222,9128,7236,21140,1545,18985,38,44575,821,7343,1029.435,0,41.9
NY,36,36005,BRONX,"Bronx County, New York",2009-2010,2009,1116.0,77.3,121.0,8.4,33.0,6.0,20.17,95.3,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,0,67.5
NY,36,36005,BRONX,"Bronx County, New York",2010-2011,2010,1830.0,126.8,212.0,14.7,33.0,14.0,15.14,89.7,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,0,67.5
NY,36,36005,BRONX,"Bronx County, New York",2011-2012,2011,491.0,34.0,54.0,3.7,31.0,25.0,2.16,90.6,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,1,67.5
NY,36,36005,BRONX,"Bronx County, New York",2012-2013,2012,3954.0,274.0,545.0,37.8,33.0,16.0,34.06,67.9,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,0,67.5
NY,36,36005,BRONX,"Bronx County, New York",2013-2014,2013,4242.0,293.9,373.0,25.8,33.0,28.0,13.32,66.9,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,1,67.5
NY,36,36005,BRONX,"Bronx County, New York",2014-2015,2014,3489.0,241.7,502.0,34.8,34.0,17.0,29.53,93.6,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,1443229,191647,379925,657051,73599,564284,309995,258727,489783,200268,42.176,0,67.5
