state,state_fips,fips,county,NAME,disease,season,season_start_year,outcome_per_100k,total_cases,total_cases_per_100k,peak_week_cases,peak_week_cases_per_100k,weeks_active,time_to_peak,outbreak_steepness,pct_type_a,pct_weeks_high_level,mean_admissions_per_100k,pop_density_per_sqmi,median_age,pct_elderly,avg_household_size,median_income,poverty_rate,unemployment_rate,public_transport_pct,pct_bachelors_plus,pct_non_white,pct_foreign_born,pct_checkup,pct_obesity,pct_diabetes,pct_copd,pct_chd,pct_csmoking,pop_total,land_area_sqmi,outbreak
CT,09,09001,Fairfield County,"Fairfield County, Connecticut",COVID,2022-2023,2022,4313.9,,4313.879999999999,,179.79,50.0,,,,4.0,10.402,1530.39,40.7,15.83,2.69,101194,9.03,6.35,8.05,33.7,32.0,22.33,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,956446,624.97,0
CT,09,09003,Hartford County,"Hartford County, Connecticut",COVID,2022-2023,2022,4729.5,,4729.4800000000005,,198.38,50.0,,,,6.0,10.502,1222.74,40.2,17.0,2.45,80320,10.7,5.81,2.85,27.44,33.29,15.41,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,898636,734.934,0
CT,09,09005,Litchfield County,"Litchfield County, Connecticut",COVID,2022-2023,2022,3952.1,,3952.12,,160.81,50.0,,,,10.0,13.856000000000002,201.16,47.6,21.42,2.44,84797,7.7,5.96,0.97,26.95,9.59,7.53,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,185175,920.515,0
CT,09,09007,Middlesex County,"Middlesex County, Connecticut",COVID,2022-2023,2022,4467.0,,4466.989999999999,,215.47,50.0,,,,12.0,13.856000000000002,445.62,45.9,20.52,2.33,90833,6.24,4.68,1.02,32.17,14.6,7.85,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,164568,369.304,0
CT,09,09009,New Haven County,"New Haven County, Connecticut",COVID,2022-2023,2022,5138.6,,5138.63,,225.68,50.0,,,,12.0,13.856000000000002,1430.98,40.4,17.33,2.49,75043,11.12,6.71,3.11,25.62,30.91,13.38,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,864751,604.305,1
CT,09,09011,New London County,"New London County, Connecticut",COVID,2022-2023,2022,5057.2,,5057.200000000001,,223.22,50.0,,,,0.0,7.476,404.67,41.4,18.34,2.35,79040,8.34,5.15,1.33,24.39,21.53,8.71,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,269131,665.065,1
CT,09,09013,Tolland County,"Tolland County, Connecticut",COVID,2022-2023,2022,3182.0,,3182.0399999999995,,150.61,50.0,,,,6.0,10.502,365.83,37.5,15.94,2.38,88525,8.75,4.66,1.07,27.32,14.37,7.23,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,150120,410.352,0
CT,09,09015,Windham County,"Windham County, Connecticut",COVID,2022-2023,2022,3480.0,,3479.96,,150.71,50.0,,,,6.0,10.502,227.13,41.2,16.66,2.45,71418,10.85,6.86,0.82,17.17,13.38,4.59,78.37777777777778,30.56666666666667,10.255555555555555,6.555555555555555,6.511111111111111,12.333333333333334,116503,512.928,0
DE,10,10001,Kent County,"Kent County, Delaware",COVID,2022-2023,2022,6618.3,,6618.330000000001,,312.52,48.0,,,,30.0,13.706000000000005,311.23,38.5,17.62,2.59,69278,11.98,6.02,0.78,17.7,38.55,6.6,78.5,38.9,12.8,7.4,6.6,14.6,182400,586.061,1
DE,10,10003,New Castle County,"New Castle County, Delaware",COVID,2022-2023,2022,5898.5,,5898.4800000000005,,314.63,49.0,,,,8.0,7.056,1338.3,39.0,16.24,2.52,85309,10.23,5.42,2.48,26.53,41.4,11.78,77.1,37.7,13.1,6.6,6.2,14.0,570567,426.337,0
DE,10,10005,Sussex County,"Sussex County, Delaware",COVID,2022-2023,2022,6242.3,,6242.26,,304.41,49.0,,,,22.0,13.706000000000005,257.08,51.3,29.17,2.38,75406,11.46,5.05,0.23,23.99,21.95,7.47,82.7,38.0,14.2,9.0,9.5,13.7,240668,936.146,0
NY,36,36001,Albany County,"Albany County, New York",COVID,2022-2023,2022,4814.4,,4814.36,,205.89,50.0,,,,16.0,14.036,602.5,38.1,17.51,2.25,78829,11.94,5.25,4.62,29.87,27.9,11.41,79.6,32.2,9.1,5.1,5.7,11.4,315041,522.888,0
NY,36,36003,Allegany County,"Allegany County, New York",COVID,2022-2023,2022,3395.5,,3395.4800000000005,,167.06,50.0,,,,0.0,7.990000000000001,45.87,38.9,19.33,2.53,58725,15.32,7.31,0.2,15.55,5.61,1.74,79.5,32.7,10.7,7.8,7.8,14.8,47222,1029.435,0
NY,36,36005,Bronx County,"Bronx County, New York",COVID,2022-2023,2022,9315.0,,9315.030000000002,,378.72,50.0,,,,40.0,9.138,34219.2,35.0,13.28,2.64,47036,26.32,11.2,54.94,13.88,82.07,33.94,79.8,37.1,16.0,6.9,7.1,16.1,1443229,42.176,1
